school_name,official_school_code,short_name,school_type,sector,region,province,city,website,address,directory_source,is_active
Abubakar Computer Learning Center Foundation,15027,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Academia de Tecnologia in Mindanao,12152,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Adiong Memorial Polytechnic State College,15019,,Chartered State College/University (Main),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Al Bangsamoro Shari'ah and Professional Education College,15070,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,"Marawi City, Lanao del Sur",CHED,true
AMA Computer College-Cotabato City,12098,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Antonio R. Pacheco College,12097,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
As-Salihein Integrated School Foundation,15071,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Asma Khadijah Islamic Academy,15084,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Bai Malgen Mama College,15054,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Balabagan Trade School,15020,,CHED-Supervised Institution,,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Basilan State College-Lamitan,09003a,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
Basilan State College-Maluso,09003b,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
Basilan State College-Sta. Clara,09003c,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
Basilan State College-Tipo-Tipo,9078,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
Binnor Pangandaman Integrated College,15076,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Bubong Marzok Memorial Foundation College,12099,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Cali Paramedical College Foundation,15038,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Coland Systems Technology,12125,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Sur,CHED,true
Colegio de Upi,15077,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Cotabato Foundation College of Science and Technology-Datu Montawal Campus,12008b,,Chartered State College/University (Satellite Campus),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Sur,CHED,true
Cotabato State University,12006,,Chartered State College/University (Main),,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Dansalan Polytechnic College,15031,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Datu Blo Umpar Adiong Agricultural School Foundation,15052,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Datu Ibrahim Paglas Memorial College,15037,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Datu Mala Muslim Mindanao Islamic College Foundation,12095,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
De La Vida College,12011,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Del Sur Good Shepherd College,15023,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Dr. P. Ocampo Colleges,12013,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Sur,CHED,true
Eastern Kutawato College,15055,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Enthusiastic College,15066,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Gani L. Abpi College,15001,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
General Diamongun K. Mangondato College of Agriculture and Fisheries,15069,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Hadji Datu Saidona Pendatun Foundation College,15068,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Hardam Furigay Colleges Foundation,15058,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
Headstart College of Cotabato,12016,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Illana Bay Integrated Computer College,15061,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Iqra Development Academy,15083,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Iranun Foundation College,15063,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Jamiat Cotabato and Institute of Technology,12154,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Sur,CHED,true
Jamiatu Dansalan Al-Islamia Foundation,15073,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Jamiatu Marawi Al-Islamia Foundation,12021,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Jamiatu Muslim Mindanao,12022,,Private Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Jamiatul Philippine Al-Islamia,12023,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Khadijah Mohammad Islamic Academy,15062,,Private Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Kutawato Darrusalam College,12107,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Maguindanao del Norte,CHED,true
Lake Lanao College,15049,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Lamitan Technical Institute,15078,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Basilan,CHED,true
Lanao Agricultural College,15004,,CHED-Supervised Institution,,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Lanao Central College,15064,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Lanao Educational Institute,15028,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Lanao Islamic Paramedical College Foundation,15047,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
Mahardika Institute of Technology,15029,,Private Non-Sectarian Non-Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Tawi-Tawi,CHED,true
Mapandi Memorial College,12034,,Private Non-Sectarian Stock,Private,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),,,,Lanao del Sur,CHED,true
